fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
0.76,0.24,1.11E+03,21.79526547,0.045182307,23.09008775,0.041424061,-62.01013039,0.040934446,-73.09678128,0.007969775,11.74703346,0.007630624,-31.30753974,0.007584304,-37.18777627,0.000160363,44.76356691,0.000134774,-121.9444848,0.000131741,-141.709765,-0.144361736,0.627677411,0.457066091,0.892400188,-4.125237086,-2.825880544,21.29466312
0.75,0.25,1.15E+03,21.78951314,0.045232113,24.21788058,0.041469724,-60.97614691,0.040955034,-72.63060304,0.007974269,12.31746178,0.007634926,-30.76138581,0.007586251,-36.94060741,0.000160702,46.97398787,0.00013506,-120.0867704,0.000131868,-140.8781113,-0.154746716,0.641329849,0.464153159,0.960014765,-4.232091312,-2.879965574,21.31239189
0.74,0.26,1.20E+03,21.7836836,0.045282644,25.36208039,0.041516052,-59.92712117,0.040975812,-72.16010371,0.007978825,12.89587521,0.007639289,-30.20758658,0.007588215,-36.69123626,0.000161047,49.21885105,0.000135349,-118.2001096,0.000131997,-140.0381854,-0.165596186,0.654880828,0.471217146,1.030898309,-4.338579376,-2.933988307,21.32942522
0.73,0.27,1.25E+03,21.77777474,0.04533392,26.52315247,0.041563063,-58.8626266,0.040996785,-71.68519381,0.007983446,13.48249572,0.007643713,-29.64592952,0.007590197,-36.43961817,0.000161397,51.49916956,0.000135643,-116.2836509,0.000132127,-139.1898091,-0.176927797,0.668323183,0.478256648,1.105179869,-4.444660352,-2.98794088,21.34581564
0.72,0.28,1.29E+03,21.77178437,0.045385963,27.70158191,0.041610777,-57.78221844,0.041017957,-71.20578087,0.007988133,14.07755461,0.007648201,-29.07619317,0.007592198,-36.18570696,0.000161752,53.81600071,0.000135942,-114.3365057,0.000132259,-138.3327987,-0.188760075,0.681649324,0.485270188,1.182995075,-4.550290655,-3.04181501,21.36160991
0.71,0.29,1.34E+03,21.76571023,0.045438794,28.89787476,0.041659214,-56.68543274,0.041039333,-70.72176926,0.007992889,14.68129302,0.007652754,-28.49814666,0.007594216,-35.92945495,0.000162114,56.17044861,0.000136246,-112.3577461,0.000132392,-137.4669636,-0.201112484,0.694851203,0.492256222,1.264486564,-4.655423849,-3.095601972,21.37684987
0.7,0.3,1.38E+03,21.75954992,0.045492438,30.11255918,0.041708395,-55.57178528,0.041060915,-70.2330601,0.007997715,15.2939625,0.007657375,-27.91154913,0.007596253,-35.67081283,0.000162481,58.56366689,0.000136555,-110.3464025,0.000132526,-136.5921068,-0.21400548,0.707920286,0.499213127,1.349804442,-4.760010437,-3.149292567,21.39157313
0.69,0.31,1.43E+03,21.75330097,0.045546918,31.34618681,0.041758344,-54.4407703,0.04108271,-69.73955105,0.008002614,15.91582563,0.007662065,-27.31614919,0.00759831,-35.40972959,0.000162854,60.9968617,0.000136869,-108.3014612,0.000132662,-135.7080241,-0.227460575,0.720847515,0.506139202,1.439106771,-4.863997635,-3.202877101,21.40581357
0.68,0.32,1.48E+03,21.74696079,0.04560226,32.59933409,0.041809083,-53.2918593,0.041104721,-69.24113615,0.008007587,16.54715665,0.007666827,-26.71168427,0.007600386,-35.14615246,0.000163234,63.47129489,0.000137188,-106.2218618,0.000132799,-134.814504,-0.241500413,0.733623271,0.513032659,1.532560113,-4.967329125,-3.256345344,21.41960185
0.67,0.33,1.52E+03,21.74052668,0.045658491,33.87260386,0.041860636,-52.12449959,0.041126954,-68.73770566,0.008012637,17.18824215,0.007671662,-26.09787995,0.007602483,-34.88002679,0.000163621,65.98828745,0.000137512,-104.106494,0.000132938,-133.9113273,-0.256148841,0.746237336,0.51989162,1.630340103,-5.069944784,-3.309686504,21.43296582
