F_33R,F_34R,F_36R,33a_vp,34a_vp,36a_vp,,,,,
0.009125377,0.058458808,0.000239082,1,1,1,,,,,
Altitude (km),T (K),33a,34a,36a,33R,34R,36R,d33S,d34S,d36S
158,1136.803487,0.97488394,0.950470781,0.903316123,0.008896184,0.055563389,0.000215967,129.3527511,258.1551599,407.024756
159,1139.615256,0.974813681,0.950333992,0.903055914,0.008895543,0.055555393,0.000215905,129.2713602,257.9740896,406.6194481
160,1142.45403,0.97474464,0.950199582,0.902800267,0.008894913,0.055547535,0.000215844,129.1913793,257.7961691,406.2212475
161,1145.218353,0.974674596,0.95006323,0.902540964,0.008894274,0.055539564,0.000215782,129.1102371,257.6156779,405.817351
162,1147.80677,0.974601327,0.94992061,0.90226978,0.008893605,0.055531227,0.000215717,129.0253585,257.4268892,405.3949492
163,1150.144458,0.974523185,0.949768516,0.901980627,0.008892892,0.055522336,0.000215648,128.9348346,257.2255601,404.9445588
164,1152.258653,0.974440745,0.949608071,0.901675648,0.00889214,0.055512956,0.000215575,128.8393324,257.0131762,404.4695163
165,1154.201028,0.974355117,0.949441436,0.901358957,0.008891358,0.055503215,0.000215499,128.7401372,256.7925985,403.9762316
166,1156.023256,0.974267415,0.94927078,0.90103468,0.008890558,0.055493239,0.000215422,128.6385388,256.5666971,403.4711312
167,1157.777011,0.974178758,0.949098281,0.900706964,0.008889749,0.055483155,0.000215343,128.5358347,256.3383578,402.9606723
168,1159.513965,0.974090275,0.948926136,0.900379977,0.008888941,0.055473091,0.000215265,128.4333315,256.1104858,402.4513508
169,1161.285794,0.974003102,0.948756554,0.900057918,0.008888146,0.055463178,0.000215188,128.3323458,255.8860074,401.9497049
170,1163.134378,0.973918166,0.94859134,0.899744209,0.008887371,0.055453519,0.000215113,128.2339523,255.6673104,401.461065
171,1165.049522,0.973835247,0.948430062,0.899438028,0.008886614,0.055444091,0.00021504,128.137895,255.4538243,400.9841503
172,1167.003784,0.973753739,0.948271542,0.899137132,0.00888587,0.055434824,0.000214968,128.0434721,255.2439884,400.5154689
173,1168.969711,0.973673032,0.948114593,0.898839268,0.008885134,0.055425649,0.000214897,127.949977,255.0362317,400.0515091
174,1170.919851,0.973592513,0.947958021,0.89854217,0.008884399,0.055416496,0.000214826,127.8566995,254.8289754,399.5887433
175,1172.82675,0.973511565,0.947800629,0.898243565,0.00888366,0.055407295,0.000214754,127.7629252,254.6206326,399.1236286
176,1174.674319,0.973429821,0.947641704,0.897942101,0.008882914,0.055398005,0.000214682,127.6682297,254.4102608,398.6540628
177,1176.494522,0.973347988,0.947482618,0.897640383,0.008882168,0.055388705,0.00021461,127.5734303,254.1996756,398.1840998
178,1178.33202,0.973267059,0.947325303,0.897342072,0.008881429,0.055379508,0.000214539,127.4796782,253.9914342,397.719445
179,1180.231475,0.973188034,0.9471717,0.89705085,0.008880708,0.055370529,0.000214469,127.3881311,253.7881074,397.2658311
180,1182.23755,0.973111916,0.947023761,0.896770411,0.008880013,0.055361881,0.000214402,127.2999526,253.5922777,396.8290125
181,1184.394903,0.973039713,0.946883441,0.896504456,0.008879355,0.055353678,0.000214338,127.2163096,253.4065346,396.4147562
182,1186.724191,0.972971895,0.946751651,0.896254704,0.008878736,0.055345973,0.000214279,127.1377452,253.232082,396.0257366
183,1189.165222,0.97290711,0.946625765,0.896016172,0.008878145,0.055338614,0.000214222,127.0626951,253.0654442,395.6541945
184,1191.640795,0.972843621,0.946502407,0.895782462,0.008877565,0.055331403,0.000214166,126.9891475,252.9021532,395.2901624
185,1194.073712,0.972779691,0.946378199,0.895547171,0.008876982,0.055324142,0.00021411,126.9150879,252.7377363,394.9236683
186,1196.38733,0.972713591,0.946249782,0.895303941,0.008876379,0.055316635,0.000214051,126.838514,252.5677489,394.5448079
187,1198.542095,0.972644423,0.946115415,0.895049475,0.008875747,0.05530878,0.000213991,126.7583862,252.3898842,394.148446
188,1200.558158,0.97257263,0.945975958,0.89478541,0.008875092,0.055300627,0.000213927,126.6752176,252.2052833,393.7371326
189,1202.461072,0.972498777,0.945832511,0.894513829,0.008874418,0.055292242,0.000213862,126.5896627,252.0153997,393.314112
190,1204.276392,0.97242343,0.945686173,0.894236817,0.008873731,0.055283687,0.000213796,126.5023769,251.8216894,392.8826326
191,1206.029671,0.972347156,0.945538048,0.893956466,0.008873035,0.055275028,0.000213729,126.4140182,251.6256131,392.4459512
192,1207.746222,0.972270522,0.945389233,0.893674854,0.008872335,0.055266328,0.000213662,126.325241,251.4286239,392.0073055
193,1209.441715,0.972193875,0.945240406,0.893393264,0.008871636,0.055257628,0.000213595,126.2364502,251.2316196,391.5686956
194,1211.119135,0.97211728,0.945091691,0.89311193,0.008870937,0.055248934,0.000213527,126.1477189,251.0347631,391.1304836
195,1212.780602,0.972040781,0.944943173,0.892831013,0.008870239,0.055240252,0.00021346,126.0590982,250.8381673,390.692921
196,1214.428237,0.971964421,0.944794939,0.892550675,0.008869542,0.055231586,0.000213393,125.9706394,250.6419461,390.2562608
197,1216.06416,0.971888246,0.944647073,0.89227108,0.008868847,0.055222942,0.000213326,125.8823942,250.446214,389.8207574
198,1217.690492,0.9718123,0.944499664,0.891992392,0.008868154,0.055214325,0.00021326,125.7944146,250.2510863,389.3866666
199,1219.309353,0.971736628,0.944352799,0.891714776,0.008867463,0.055205739,0.000213193,125.706753,250.0566787,388.9542455
200,1220.922862,0.971661277,0.944206567,0.891438397,0.008866776,0.055197191,0.000213127,125.6194618,249.8631079,388.5237525
201,1222.530355,0.971586227,0.944060931,0.89116319,0.008866091,0.055188677,0.000213061,125.5325203,249.6703273,388.0950833
202,1224.12292,0.971511271,0.94391549,0.890888392,0.008865407,0.055180175,0.000212996,125.4456883,249.4778043,387.6670529
203,1225.690123,0.971436167,0.943769771,0.890613113,0.008864722,0.055171656,0.00021293,125.358684,249.2849141,387.2382723
204,1227.221527,0.971360669,0.943623301,0.890336457,0.008864033,0.055163094,0.000212864,125.2712239,249.0910285,386.807346
205,1228.706698,0.971284533,0.943475602,0.890057523,0.008863338,0.055154459,0.000212797,125.1830234,248.8955165,386.3728728
206,1230.135257,0.971207511,0.943326197,0.889775413,0.008862635,0.055145725,0.00021273,125.0937973,248.697747,385.9334519
207,1231.513197,0.971129734,0.943175341,0.889490607,0.008861925,0.055136906,0.000212662,125.0036971,248.4980556,385.4898319
208,1232.885648,0.971052239,0.943025044,0.889206902,0.008861218,0.05512812,0.000212594,124.9139238,248.2991047,385.0479274
209,1234.30346,0.970976203,0.942877586,0.888928601,0.008860524,0.0551195,0.000212527,124.8258394,248.1039121,384.6144392
210,1235.817486,0.970902807,0.942735259,0.888660025,0.008859855,0.05511118,0.000212463,124.7408135,247.9155115,384.1960994
211,1237.478577,0.970833238,0.942600364,0.888405511,0.00885922,0.055103294,0.000212402,124.6602216,247.7369488,383.7996627
212,1239.337585,0.970768686,0.942475206,0.888169401,0.008858631,0.055095977,0.000212346,124.5854419,247.5712753,383.4318931
213,1241.445352,0.970710341,0.942362089,0.887956031,0.008858098,0.055089365,0.000212295,124.5178515,247.4215391,383.0995438
214,1243.814163,0.970658488,0.942261565,0.88776644,0.008857625,0.055083488,0.000212249,124.4577834,247.2884748,382.8042322
215,1246.329582,0.970610465,0.94216847,0.887590876,0.008857187,0.055078046,0.000212207,124.4021511,247.1652431,382.5307707
216,1248.851184,0.970563003,0.942076468,0.887417391,0.008856754,0.055072668,0.000212166,124.3471692,247.0434582,382.2605462
217,1251.238545,0.97051284,0.941979234,0.887234059,0.008856296,0.055066984,0.000212122,124.2890578,246.9147479,381.9749839
218,1253.352638,0.970456747,0.941870512,0.887029087,0.008855784,0.055060628,0.000212073,124.2240768,246.77083,381.6557163
219,1255.142056,0.970393524,0.941747976,0.886798103,0.008855207,0.055053464,0.000212018,124.1508354,246.6086272,381.2959298
220,1256.693317,0.970325164,0.941615495,0.886548406,0.008854583,0.05504572,0.000211958,124.0716445,246.4332605,380.9069967
221,1258.105052,0.970253947,0.941477487,0.886288327,0.008853933,0.055037652,0.000211896,123.9891432,246.2505757,380.5018917
222,1259.475894,0.970182158,0.94133838,0.886026218,0.008853278,0.05502952,0.000211833,123.9059797,246.0664383,380.0936257
223,1260.904477,0.970112095,0.941202628,0.885770467,0.008852639,0.055021584,0.000211772,123.8248155,245.8867409,379.6952622
224,1262.487818,0.970046029,0.941074628,0.885529353,0.008852036,0.055014101,0.000211714,123.7482805,245.7173042,379.3196979
225,1264.26114,0.969984789,0.940955988,0.885305902,0.008851477,0.055007166,0.000211661,123.6773379,245.5602585,378.9716447
226,1266.179926,0.969927342,0.940844702,0.885096325,0.008850953,0.05500066,0.000211611,123.6107884,245.4129468,378.6452043
227,1268.194382,0.969872524,0.940738514,0.884896374,0.008850453,0.054994452,0.000211563,123.5472841,245.2723841,378.3337557
228,1270.254716,0.969819168,0.940635165,0.884701791,0.008849966,0.054988411,0.000211517,123.4854744,245.1355798,378.0306685
