fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space,32TS_M,33TS_M,34TS_M,36TS_M,32S_M,33S_M,34S_M,36S_M,32S_S,33S_S,34S_S,36S_S,D33S M [alt],D33S S [alt],D36S M [alt],D36S S [alt],mbST,mb32S,mb33S,mb34S,mb36S
0.78,0.22,1034.36214,21.62535104,0.04508479,20.88195453,0.04129088,-65.02584091,0.040907229,-73.71306431,0.007963314,10.92674118,0.007610764,-33.82877667,0.007573406,-38.57127333,0.000159404,38.51640967,0.000134896,-121.1557052,0.000132623,-135.9624924,0.22643684,0.205317453,0.095501433,-1.531873797,-1.229835493,-0.565065638,21.07567912,0.949480509,0.007561011,0.042807129,0.000151351,4.01E+21,3.19E+19,1.81E+20,6.39E+17,1.14E+21,8.60E+18,4.64E+19,1.51E+17,0.172534604,-0.609045209,-1.159303931,4.09232982,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.77,0.23,1081.378601,21.61974716,0.045133206,21.97825533,0.041334656,-64.03459197,0.040927403,-73.25626485,0.007967809,11.49745237,0.007615005,-33.29028235,0.007575366,-38.32244205,0.000159717,40.55673005,0.000135157,-119.4511016,0.000132743,-135.1806371,0.238329526,0.216532697,0.100209369,-1.614656682,-1.298862273,-0.593511696,21.09498428,0.949432529,0.007564897,0.042850934,0.000151641,3.96E+21,3.15E+19,1.79E+20,6.32E+17,1.19E+21,8.99E+18,4.86E+19,1.58E+17,0.178650881,-0.595465658,-1.201955069,4.006266083,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.76,0.24,1128.395062,21.61407003,0.045182307,23.09008775,0.041379044,-63.02948103,0.040947758,-72.7953511,0.007972366,12.07595259,0.007619304,-32.74453355,0.007577343,-38.07145379,0.000160035,42.62780954,0.000135423,-117.7211319,0.000132864,-134.3912763,0.250391156,0.227905208,0.104934677,-1.698853625,-1.36905315,-0.622114773,21.11346768,0.949383876,0.007568836,0.042895354,0.000151935,3.90E+21,3.11E+19,1.76E+20,6.25E+17,1.24E+21,9.38E+18,5.07E+19,1.65E+17,0.184557401,-0.581847974,-1.243357179,3.919890794,-5.81E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.75,0.25,1175.411523,21.6083177,0.045232113,24.21788058,0.041424061,-62.01013038,0.040968298,-72.33024053,0.007976986,12.66245274,0.007623662,-32.19133641,0.007579337,-37.81826612,0.000160358,44.73052582,0.000135692,-115.9650819,0.000132986,-133.5942541,0.262626395,0.239439272,0.109677239,-1.784507544,-1.440442996,-0.650875444,21.13119645,0.949334531,0.007572829,0.042940407,0.000152233,3.85E+21,3.07E+19,1.74E+20,6.18E+17,1.29E+21,9.78E+18,5.28E+19,1.72E+17,0.190244245,-0.568192247,-1.28344728,3.833202915,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.74,0.26,1222.427984,21.60248816,0.045282644,25.36208039,0.041469724,-60.97614689,0.040989028,-71.86084795,0.007981671,13.25717237,0.00762808,-31.63048924,0.00758135,-37.56283528,0.000160685,46.86579378,0.000135966,-114.1822073,0.00013311,-132.7894096,0.275040106,0.251139354,0.114436916,-1.871663247,-1.513068198,-0.679794225,21.14822979,0.949284476,0.007576876,0.042986111,0.000152536,3.80E+21,3.03E+19,1.72E+20,6.11E+17,1.34E+21,1.02E+19,5.50E+19,1.79E+17,0.195700972,-0.554498588,-1.322158952,3.746201494,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.73,0.27,1269.444444,21.5965793,0.04533392,26.52315246,0.041516052,-59.92712116,0.04100995,-71.38708537,0.007986422,13.8603401,0.00763256,-31.06178212,0.00758338,-37.3051161,0.000161018,49.03456756,0.000136244,-112.3717325,0.000133235,-131.9765765,0.287637351,0.2630101,0.119213553,-1.960367545,-1.586966749,-0.708871566,21.1646202,0.949233691,0.007580981,0.043032484,0.000152844,3.75E+21,2.99E+19,1.70E+20,6.04E+17,1.39E+21,1.06E+19,5.71E+19,1.86E+17,0.200916581,-0.540767133,-1.359422113,3.658885668,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.72,0.28,1316.460905,21.59058894,0.045385963,27.70158191,0.041563063,-58.86262659,0.04103107,-70.90886186,0.007991242,14.47219416,0.007637103,-30.4849964,0.007585428,-37.0450619,0.000161357,51.23784286,0.000136526,-110.5328483,0.000133361,-131.1555829,0.300423411,0.275056353,0.124006976,-2.050669373,-1.662178341,-0.738107842,21.18041447,0.949182153,0.007585144,0.043079546,0.000153157,3.70E+21,2.95E+19,1.68E+20,5.97E+17,1.44E+21,1.10E+19,5.93E+19,1.93E+17,0.205879477,-0.526998041,-1.395162769,3.571254682,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.71,0.29,1363.477366,21.58451479,0.045438794,28.89787476,0.041610777,-57.78221843,0.041052391,-70.42608348,0.007996132,15.09298293,0.007641712,-29.89990428,0.007587495,-36.78262449,0.0001617,53.47665928,0.000136813,-108.6647107,0.000133488,-130.3262507,0.313403794,0.287283162,0.128816989,-2.142619911,-1.738744463,-0.767503346,21.19565444,0.949129843,0.007589368,0.043127315,0.000153474,3.65E+21,2.92E+19,1.66E+20,5.90E+17,1.50E+21,1.14E+19,6.14E+19,2.00E+17,0.21057743,-0.513191498,-1.429302754,3.483307887,-3.88E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.7,0.3,1410.493827,21.57835448,0.045492438,30.11255918,0.041659214,-56.68543273,0.041073917,-69.93865304,0.008001095,15.72296551,0.007646389,-29.30626826,0.007589582,-36.51775403,0.000162049,55.752103,0.000137104,-106.766438,0.000133617,-129.488396,0.326584248,0.299695795,0.133643372,-2.236272727,-1.816708513,-0.797058285,21.21037769,0.949076736,0.007593653,0.043175814,0.000153797,3.59E+21,2.88E+19,1.64E+20,5.83E+17,1.55E+21,1.17E+19,6.36E+19,2.07E+17,0.214997531,-0.499347719,-1.461759438,3.395044758,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.69,0.31,1457.510288,21.57210553,0.045546918,31.3461868,0.041708395,-55.57178527,0.041095653,-69.44647002,0.008006132,16.36241235,0.007651134,-28.70384055,0.007591688,-36.25039901,0.000162404,58.0653095,0.0001374,-104.8371093,0.000133746,-128.6418281,0.339970776,0.312299747,0.138485884,-2.331683917,-1.896115909,-0.826772767,21.22461813,0.949022809,0.007598002,0.043225064,0.000154126,3.54E+21,2.84E+19,1.61E+20,5.75E+17,1.60E+21,1.21E+19,6.57E+19,2.14E+17,0.219126151,-0.485466949,-1.492445425,3.306464903,-1.94E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00
